news_name,label
Rosalynn Carter,0
"US warns about fake, dangerous pills being sold in Mexico",0
Reports of Russian pullback in Ukraine: a skirmish in the information war,0
82-year-old charged with sale of fake Michael Jordan cards,0
"Love ties career high with 3 TD passes, leads Packers to 29-22 win over NFC North-leading Lions",0
Russia puts Ukrainian winner of Eurovision Song Contest on wanted list,0
Top Connecticut state police leaders retiring as investigators probe fake traffic ticket data claims,0
"Fake pro, college sports memorabilia worth millions seized",0
Dutch court sentences Russian businessman to 18 months for busting sanctions targeting Moscow,0
Wisconsin judge dismisses complaint against GOP fake elector,0
Russian lawmaker disputes report saying he adopted a child taken from a Ukrainian children’s home,0
"For news organizations, the flood of Gaza war video is proving both illuminating and troubling",0
BBC tries to understand politics by creating fake Americans,0
"Judge rejects Connecticut troopers’ union request bar release of names in fake ticket probe, for now",0
NOT REAL NEWS: A look at what didn’t happen this week,0
Macron warns against fake news ahead of French election,0
2 Mississippi men sentenced in a timber scheme that caused investors to lose millions of dollars,0
Macy’s Thanksgiving Day Parade sends Snoopy and SpongeBob soaring as Cher entertains NYC,0
"Connecticut officer submitted fake reports on traffic stops that never happened, report finds",0
Brady Cook throws for a TD and scores on a run as Missouri takes down No. 24 Kentucky 38-21,0
Charlottesville City Council suspends virtual public comments after racist remarks at meeting,0
Israel-Hamas war misinformation is everywhere. Here are the facts,0
Image claiming to show Trump dancing with underage girl is fake,0
Judge: GOP head can’t share lawyers with other fake electors,0
"California’s governor isn’t trying to block Trump from the ballot, despite what fake headline claims",0
"Two Kansas prison employees fired, six disciplined, after injured inmate was mocked",0
Jonathan Taylor runs for early TD and Colts hold off Patriots 10-6 in Germany,0
Powell reinforces Fed’s cautious approach toward further interest rate hikes,0
"Fake Arizona rehab centers scam Native Americans far from home, officials warn during investigations",0
Myanmar charges Japanese journalist with spreading fake news,0
California woman sentenced for faked kidnapping,0
Israel-Hamas war,0
Frank Reich fired,0
Musk visits Israel,0
Bears outlast Vikings,0
Rosalynn Carter,0
California woman sentenced for faked kidnapping,0
French government dispels fake press release claiming internet will be restricted during unrest,0
AP source: Saints fined for violating rule on faking injury,0
Former NYC jail guards avoid prison time for 8-minute delay in helping inmate who attempted suicide,0
Sweden creates agency to combat fake news ahead of election,0
Former agent of East Germany’s secret police is charged over the 1974 border killing of a Polish man,0
"Former Massachusetts transit worker pleads guilty to 13 charges, including larceny, bribery, fraud",0
Judge: Wisconsin fake electors complaint must be reheard,0
Woman pleads guilty to calling in hoax bomb threat at Boston Children’s Hospital,0
"Musk’s X is the biggest purveyor of disinformation, EU official says",0
Turkey’s opposition seeks stay of ‘disinformation’ law,0
Inside the meeting of Republican electors who sought to thwart Biden’s election win in Georgia,0
Restaurant worker charged with providing false identification documents to Brazilian employees,0
Nigeria’s president faces new challenge to election victory as opposition claims he forged diploma,0
TikTok is launching new tool that will help creators label AI content on the app,0
Nevada’s Republican governor vetoes bill that would criminalize fake electors,0
Finn’s 3 total TDs help Toledo beat UMass 41-24 for 5th straight victory,0
SEC questions Twitter on how it counts fake accounts,0
Wisconsin judge revives complaint over 2020 fake electors,0
Bank of America hit with $250M in fines and refunds for ‘double-dipping’ fees and fake accounts,0
Toulouse-Lautrec work hit with fake blood at Berlin museum,0
Wisconsin judge allows for lawsuit against fake Trump electors to proceed,0
British soldier awaiting trial on terror-related charges escapes from London prison,0
France accuses Russia of faking websites to sow confusion and disinformation about Ukraine war,0
"Bogus online reviews are targeted by US regulators with new, proposed bans",0
Brazil’s Bolsonaro questioned in fake vaccine card investigation,0
The US warns of a Chinese global disinformation campaign that could undermine peace and stability,0
"Fake LeBron, Schefter accounts among those tweeting non-news",0
AI that alters voice and imagery in political ads will require disclosure on Google and YouTube,0
German publisher apologizes for fake Schumacher AI interview,0
Israel-Hamas war,0
Frank Reich fired,0
Musk visits Israel,0
Bears outlast Vikings,0
Rosalynn Carter,0
Rhode Island park vandalized with ‘racist and hateful’ fake signs,0
5 plead guilty in fake nursing diploma scheme in Florida,0
Turkey calls Greek claims on migrant mistreatment fake news,0
Florida art museum sues former director over forged Basquiat paintings scheme,0
Musk now gets chance to defeat Twitter’s many fake accounts,0
"Hundreds of tribal members, mostly Navajo, living on Phoenix streets amid fake sober home crackdown",0
Russian critic who urged Ukraine talks doesn’t fear arrest,0
"Nepal prosecutors accuse 30 people, including prominent politicians, of selling fake refugee papers",0
Wisconsin trial over fake electors set to start just before 2024 presidential election,0
Swiss police investigate fake ad campaign on energy wasting,0
Expert: School shooter faked fetal alcohol symptoms,0
Terrorism suspect who escaped from London prison is captured while riding a bike,0
Anna ‘Delvey’ Sorokin launches podcast,0
Federal jury finds Michigan man guilty in $3.5 million fraudulent N95 mask scheme,0
Social media posts falsely claim space station footage is faked,0
Fake marina with fake water steals show at Miami Grand Prix,0
Fed’s Powell was tricked by fake call from Russia pranksters,0
DEA: Fake pills containing fentanyl helping drive OD deaths,0
Russian writer Dmitry Glukhovsky is handed an 8-year prison term for discrediting Russia’s army,0
Next frontier in France’s protests: Fake Olympic volunteers,0
Boston man sentenced for opening bank accounts used by online romance scammers,0
"Pope warns of social media perils: relationships reduced to algorithms, partisan propaganda, hatred",0
Wisconsin’s Johnson under heat for fake elector revelation,0
Police comb the UK and put ports on alert for an escaped prison inmate awaiting terrorism trial,0
"Fake, combative dialogue added to Bill Gates interview",0
Bolsonaro home searched as Brazil probes fake vaccine cards,0
"3 companies to pay $615,000 in NY attorney general investigation over faked net neutrality comments",0
"3 companies to pay $615,000 in NY attorney general investigation over faked net neutrality comments",0
A former fundraiser for Rep. George Santos has been charged with wire fraud and identity theft,0
Fake audio falsely claims to reveal private Biden comments,0
Israel-Hamas war,0
Frank Reich fired,0
Musk visits Israel,0
Bears outlast Vikings,0
Rosalynn Carter,0
"Richard Linklater’s ‘Hit Man,’ with a movie-star turn by Glen Powell, is a Toronto festival hit",0
"Email scammers said to send money. An Atlanta suburb’s government lost nearly $800,000",0
Georgia fake electors may face charges in election probe,0
Rosalía es blanco de fake news antes de concierto en México,0
"Under house arrest, fake heiress Anna ‘Delvey’ Sorokin launches podcast to rehab public image",0
Gov’t: US Bank workers opened fake accounts for sales goals,0
NOT REAL NEWS: A look at what didn’t happen this week,0
"Pope denounces fake news about COVID, vaccines, urges truth",0
"California woman fakes cancer, forges notes to avoid prison",0
"Man accused of naming fake companies, dead people, for loans",0
European mayors duped into calls with fake Kyiv mayor,0
Fake nursing diploma scheme in Florida; 25 arrested,0
Aid group in Haiti suspends treatment after some 20 armed men storm hospital,0
Europe is cracking down on Big Tech. This is what will change when you sign on,0
Fake tweet on vaccines in food supply attributed to Gates,0
"Dozens in 16 states charged with health care fraud schemes, including $1.9B in bogus claims",0
"Man with 665,000 fake Adderall pills gets 10-year sentence",0
Fake tweet about ‘whiteness’ attributed to Black lawmaker,0
Amazon sues admins of 10K Facebook groups over fake reviews,0
New Hampshire officer pleads guilty to fabricating traffic warnings,0
Trump’s target letter suggests the sprawling US probe into the 2020 election is zeroing in on him,0
Trump attempt to derail Georgia election investigation rejected by judge,0
EU report takes aim at Russia over vaccine fake news,0
Police: Driver faked claim that his child was in stolen car,0
Protesters try to disrupt Granholm climate change discussion,0
Russian media campaign falsely claims Bucha deaths are fakes,0
"Pair convicted for roles in online romance scams, pandemic unemployment relief fraud",0
"Montana man gets 10 years for faking COVID, missing court",0
A grand jury sworn in Tuesday could decide whether Trump is charged over Georgia’s 2020 election,0
Tennis player denies using fake COVID-19 travel certificate,0
Israel-Hamas war,0
Frank Reich fired,0
Musk visits Israel,0
Bears outlast Vikings,0
Rosalynn Carter,0
Fake sex abuse claims get British woman 8.5 year prison term,0
Washington sues plastic surgery provider for fake reviews,0
Jane Fonda to attend Vienna Opera Ball with 90-year-old date,0
Belgium keeper Thibaut Courtois ‘deeply disappointed’ by his coach’s comments in captaincy row,0
A deadly bomb ambush of police in Mexico has endangered mothers who search for the missing,0
Fake ambulance with 28 migrants aboard found in Mexico,0
Scottsdale police warn of scam using fake parking tickets,0
Arizona woman alleges sexual assault by Trevor Bauer; he denies allegation and countersues,0
"Collier makes go-ahead jumper in overtime, Lynx beat Storm 99-97",0
General manager of electrical company pleads guilty to defrauding Boston rail operator,0
"Transcripts reveal link between Trump, Nevada fake electors",0
"Book Review: Tom Rachman’s new novel ‘The Imposters,’ a global journey of disparate stories",0
"WEF never said Jesus is ‘fake news,’ despite claims",0
Fox ushers out Geraldo Rivera with tribute as he says he was fired from ‘The Five’,0
Chandler man who sold thousands of fake masks avoids jail,0
Migrants in Mexico fall victim to rampant scams on their way to the US,0
"8 young workers at drug cartel call center killed, bodies placed in bags",0
"Fake teen doctor, now 25, sentenced to prison for new scam",0
Wells Fargo agrees to pay $1 billion to settle shareholders’ class-action lawsuit,0
Former cast member of ‘Basketball Wives LA’ admits to 15 federal crimes,0
"Florida art dealer gets 2 years, 3 months in Warhol forgery scheme",0
Unbeaten Cavaliers and Rockets to meet in NBA Summer League championship game,0
Turkey’s Erdogan says social media a ‘threat to democracy’,0
"Real coffee, but a fake ‘Starbucks’ in piracy-ridden Iraq",0
"Fake psychic, partner sentenced in $3M fraud scheme",0
Jordan assails NFL for accusation he faked foot injury,0
Charges: Nurses made $1.5 million off fake vaccination cards,0
Tennessee officers’ conduct probed in woman’s death,0
Fake Warnock mugshot circulates ahead of Georgia Senate runoff,0
Man sentenced for faking death to avoid sex abuse charges,0
Israel-Hamas war,0
Frank Reich fired,0
Musk visits Israel,0
Bears outlast Vikings,0
Rosalynn Carter,0
"UN peacekeeping on 75th anniversary: successes, failures and challenges ahead in a divided world",0
Amazon may breach trademark rights over fake Louboutin ads,0
US sprinter Randolph Ross banned 3 years after fake email,0
Suspects held after fake online sale of Indian Muslim women,0
EXPLAINER: How fake electors tried to throw result to Trump,0
France: 400 investigations into fake COVID-19 health passes,0
Facebook: Fake scientist used to spread anti-US propaganda,0
FACT FOCUS: Walmart quashes cryptocurrency partnership claim,0
Turkish journalist groups slam bill to fight disinformation,0
How ‘swatting’ calls spread as schools face real threats,0
Naturopath who sold fake vaccine cards gets nearly 3 years,0
Turkish parliament OKs disputed bill to fight disinformation,0
"Convicted ‘fake heiress’ released, fights deportation",0
New Twitter rules expose election offices to spoof accounts,0
"Braces, sex pills, fake eyeball among bizarre NJ beach trash",0
"Man testifies Smollett recruited him, brother to fake attack",0
Judge orders men who made fake robocalls to register voters,0
‘A joke': Man charged after fake ad draws calls to candidate,0
Freddie Mercury’s eclectic collection of ‘clutter’ for sale,0
Fake poop helps evicted owls settle into new neighborhood,0
Twitter Blue signups unavailable after raft of fake accounts,0
Twitter’s launch of DeSantis’ presidential bid underscores platform’s rightward shift under Musk,0
Jan. 6 committee subpoenas fake Trump electors in 7 states,0
"Real or not, reported Kremlin drone attack unsettles Russia",0
"Gillum trial: Jurors begin deliberations, break for weekend",0
Secret Chinese police station in New York leads to arrests,0
Wake Forest coach: NCAA should review rules on fake slides,0
"Officials: US fugitive faked death, found in UK with COVID",0
"Police: Nurse in Italy caught faking shots, ditching vaccine",0
"Big Tech crackdown looms as EU, UK ready new rules",0
Israel-Hamas war,0
Frank Reich fired,0
Musk visits Israel,0
Bears outlast Vikings,0
Rosalynn Carter,0
"Trump forum a big test for CNN, moderator Kaitlan Collins",0
South Africa police say prison escapee arrested in Tanzania,0
Feds seize ‘staggering’ amount of fake Adderall pills,0
"Thousands of pro-Trump bots are attacking DeSantis, Haley",0
Today in History for January 9th,0
"Turkey: US diplomat arrested, allegedly sold fake passport",0
Agent: Woman intensively researched how to fake pregnancy,0
Myanmar government rebuts massacre reports as ‘conspiracy’,0
Convicted ‘fake heiress’ released as she fights deportation,0
"Man charged in 20-plus calls of false threats in US, Canada",0
"‘Fake heiress’ released to house arrest, fights deportation",0
"Brueghel work found in dim French TV room sells for $845,000",0
Judge: Fake heiress can fight deportation on house arrest,0
US man accused of faking death to avoid charges jailed in UK,0
Man gets 4 1/2 years for role in $8M online romance scam,0
Fake headline links Pakistan flooding to Quran,0
Man agrees to plead guilty in Basquiat artwork fraud scheme,0
US denies man held in Turkey for fake passport is diplomat,0
"Greece: Unruly passenger forced landing, had fake ID",0
Final defendant in fake military gear scheme gets 2 years,0
Michigan AG asks feds to investigate fake GOP electors,0
Android phones in Iran get false quake alerts amid protests,0
Fake Global News headline about pronouns spreads online,0
2 artists charged with faking Native American heritage,0
WVa man accused of possessing fake explosive devices,0
"Fake heiress Anna Sorokin talks deportation, house arrest",0
AG won’t seek charges in LAPD shooting of man with fake gun,0
"US fugitive who faked death, skipped UK court date arrested",0
Chile’s move to replace dictatorship constitution faces test,0
Leader of fake US military clothing scheme gets prison time,0
Israel-Hamas war,0
Frank Reich fired,0
Musk visits Israel,0
Bears outlast Vikings,0
Rosalynn Carter,0
Serial killer lured by fake social account gets 160 years,0
Italy dentist with fake silicone arm gets vaccine - for real,0
Italian dentist presents fake arm for vaccine to get pass,0
Suit tossed in active shooter drill woman believed was real,0
Israeli army admits to covert influence campaign in Gaza war,0
Louisiana city cop accused of faking overtime claims,0
Michigan veteran gets 5 years for fraud over faked injuries,0
Worries grow that Trump indictment will eclipse other probes,0
Fake Florida doctor sentenced to 9 years for dating scam,0
Poland leader: Idea of ‘Polexit’ is ‘fake news’,0
Fake headline about monkeypox spreads online,0
Man admits faking death to avoid sex abuse charges,0
"2022 NCAA rules changes address targeting, faking injuries",0
"Video shows film crew shooting sci-fi movie, not faking Ukraine war footage",0
Metallurgist admits faking steel-test results for Navy subs,0
Glimpse into Oscars rehearsals shows stars at Dolby Theatre,0
German group sues Facebook owner Meta over death threats,0
"Word war: In Russia-Ukraine war, information became a weapon",0
Fake tweet about dogs wrongly attributed to UK culture secretary,0
Sentencing set for naturopath who sold fake vaccine cards,0
Ex-CEO of Germany’s Wirecard denies charges at fraud trial,0
"Hatch woman, son facing fraud charges over fake parking fees",0
Man charged with paying for fake hitmen to kill love rival,0
Florida art dealer pleads guilty in Warhol forgery scheme,0
"Wisconsin Supreme Court candidates clash over abortion, maps",0
Posts spread fake Atlantic headline on economy under Biden,0
Fake headline distorts reason that Choco Tacos were discontinued,0
"Settlement ends lawsuit over fake subpoenas, jailed victims",0
Feds warn companies: Fake online reviews could lead to fines,0
Ex-USC soccer coach tells of faking athletic credentials,0
Israel-Hamas war,0
Frank Reich fired,0
Musk visits Israel,0
Bears outlast Vikings,0
Rosalynn Carter,0
Man who held fake shooting drill at Nebraska charity charged,0
Review: Fake pregnancy transforms lonely salarywoman’s life,0
Fake Atlantic headline spreads on social media,0
"Russia puts Prague-based, anti-war activist on wanted list",0
‘Daily Show’s’ Roy Wood to headline White House press dinner,0
NY: Broadband cos paid for 8.5M fake net neutrality comments,0
Cops: Fake 911 call helped unravel Vermont murder for hire,0
Baltimore man indicted for multiple fake loan applications,0
Fake Trump Jr. tweet about keeping Mar-a-Lago ‘clean’ was parody,0
Video of plane crashing into soccer field is fake,0
Schumer calls for federal crackdown on fake vaccine cards,0
A road not taken: verified Cormac McCarthy account is fake,0
Nursing director admits lying about fake vaccination cards,0
A short film from Lebanon is being misrepresented to accuse Palestinians of staging injuries,0
"Florida didn’t ban ‘To Kill a Mockingbird,’ as fake list suggests",0
Iraq prime minister orders crackdown on trademark violations,0
Authorities: Fake vaccination cards sold at California bar,0
Japan truckmaker Hino says emissions data faked for 20 years,0
Witness: R. Kelly made victims write fake blackmail letters,0
Meta disables Russian propaganda network targeting Europe,0
"Attorneys for Musk, Twitter argue over information exchange",0
Red Cross chief urges vaccine ‘fake news’ fight,0
Hackers disrupt Iran’s rail service with fake delay messages,0
Man who faked drug trials ordered not to practice medicine,0
AP Top Stories 5P,0
Facebook ad attributed to TED Conferences is fake,0
Republican fake elector running to lead election commission,0
Police arrest man suspected of selling fake NBA tickets,0
"City councilor accused of harassment, fake press release",0
Florida gallery owner charged with peddling fake art pieces,0
Israel-Hamas war,0
Frank Reich fired,0
Musk visits Israel,0
Bears outlast Vikings,0
Rosalynn Carter,0
Headline saying 500M African refugees headed to Europe is fake,0
"Saints’ Jordan wins appeal, critical of NFL’s process",0
Mexican president asks Bad Bunny to play free concert,0
Russia identifies 2nd suspect in death of nationalist Dugina,0
EU beefs up disinformation code to prevent digital ad profit,0
Scottish man who faked death in California jailed for rape,0
Chris Rock apology for Oscars joke is fake,0
5 takeaways from Twitter whistleblower Peiter Zatko,0
Posts share fake image showing outline of foot on pregnant belly,0
BBC-branded video on Ukraine train attack is fake,0
"Today in Sports - Brian Westbrook is the 1st player with 1,000 yds. rushing/receiving in same season",0
Fake BBC tweet pushes bogus claims of Saudi ‘Straight Pride Month’,0
Purdue reprimands campus official for mocking Asian remark,0
"Whistleblower: Bad news for Twitter, good news for Musk?",0
Fake BBC tweet spreads fabricated Macron quote,0
Video showing a pro-Israel ABC News billboard in NYC is fabricated,0
Police: Man charged in Takeoff’s death tried to avoid arrest,0
Germany: Fake doctor gets life in prison for patient deaths,0
Colorado funeral home owner sentenced in body sales case,0
Video from 2013 protest in Cairo misrepresented to falsely claim Palestinians are staging deaths,0
State official accused of faking pregnancies pleads guilty,0
Image attributes fake ivermectin tweets to Candace Owens and Fox News,0
Congress wants to hear what Twitter whistleblower has to say,0
Dozens of NYC teachers accused of faking vaccination cards,0
US: Hawaii man used $1.2M in fake checks to try to post bail,0
Man who faked death gets 85 years for sexual assault of teen,0
"Controversy, frivolity mark day one of Paris Fashion Week",0
Report: Fake Twitter accounts spread Chinese propaganda,0
Hakimi’s ‘Panenka’ penalty advances Morocco at World Cup,0
Group urges feds to investigate Snapchat over fentanyl sales,0
Israel-Hamas war,0
Frank Reich fired,0
Musk visits Israel,0
Bears outlast Vikings,0
Rosalynn Carter,0
Settlement reached in suits over FBI posing as AP reporter,0
New York teacher charged with submitting fake vaccine card,0
Naturopathic doctor admits selling fake COVID vaccine cards,0
Social media users share fake CTV News headline,0
Report: Fake priest conned way into royal guards’ barracks,0
Feds: Fake Army general scammed multiple women out of $1M,0
Tweet attributed to World Economic Forum is fake,0
"A video spreading online shows the making of a 2022 film, not propaganda for the Israel-Hamas war",0
Putin decries media ‘lies’ at meeting with soldiers’ mothers,0
Marshals arrest Iowa man accused of faking own death,0
Posts misrepresent image of Ukrainians training with fake guns,0
Delaware paramedic gets probation for fake vaccine cards,0
Woman who faked cancer for donations gets 5 years in prison,0
Jurors convict former principal in fake enrollment scheme,0
California family ‘appalled’ by arrest in faked abduction,0
California woman admits she faked 2016 kidnapping,0
Tim Boyle’s start for the Jets on Friday could spell the end for Zach Wilson in New York,0
Esports superstar Faker’s team wins trophy at the League of Legends World Championship,0
Georgia state official is accused of faking pregnancies,0
Looming Musk-Twitter legal battle hammers company shares,0
Woman charged with faking kidnapping released from jail,0
Russia fines opposition radio station for fake news,0
US Attorney: Fake doctor pleads guilty in $1.3M romance scam,0
Esports’ ‘Faker’ relishes final place,0
Mental crises excluded from some state abortion exemptions,0
Ex-fundraiser for George Santos pleads guilty to posing as congressional aide to raise campaign cash,0
"Can New York’s mayor speak Mandarin? No, but with AI he’s making robocalls in different languages",0
5 officers charged after Black man paralyzed in police van,0
Tweet attributed to Australian health officer is fake,0
75-year-old accused of being fake police officer,0
Israel-Hamas war,0
Frank Reich fired,0
Musk visits Israel,0
Bears outlast Vikings,0
Rosalynn Carter,0
75-year-old accused of being fake police officer,0
Wisconsin commission won’t punish fake electors,0
"Social media users share old, fake Bill Clinton transcript",0
"Marine reservist, nurse charged with fake vaccine card scam",0
Indictment says St. Louis lawyer faked legal documents,0
Wisconsin prosecutor weighs in on fake GOP electors,0
Bogus social media ad uses an edited video of Kelly Clarkson to sell weight-loss gummies,0
Drug capo among 16 dead in bloody Ecuador prison riot,0
"BBC did not report that Ukraine is sending arms to Hamas, a video was fabricated",0
"Prosecutors: Woman faked kidnapping, defrauded California",0
"Charges: Current, former California officers faked overtime",0
New Mexico State throttles Auburn 31-10 for first win over SEC team,0
2 plead guilty in ride-hailing fake driver account scheme,0
UK court: Arrested man is US fugitive wanted on rape claim,0
Shane Steichen’s presence gives Colts a new look and a new attitude for NFL’s stretch run,0
"For author Haruki Murakami, reading fiction helps us ‘see through lies’ in a world divided by walls",0
Migrant traffickers crash in fake government food truck,0
Sharp attacks on Trump from Rupert Murdoch’s news outlets,0
‘Christmas card’ attributed to Trump is fake,0
"To help 2024 voters, Meta says it will begin labeling political ads that use AI-generated imagery",0
France blames Russia for a digital effort to whip up online controversy over Stars of David graffiti,0
Old story about the Gaza film industry misrepresented as proof Palestinian war victims are ‘crisis actors’,0
Woman accused of faking kidnapping facing criminal charges,0
"Widespread video of a parent ripping down a Pride flag in classroom is a skit, not real",0
EU wants tech giants to do more to counter virus fake news,0
German soccer coaches banned for using fake vaccine passes,0
France blames ticket fraud for Champions League final chaos,0
Verdicts handed down in shooting at fake gender reveal party,0
Bill seeks to criminalize use or sale of fake vaccine cards,0
Fake heiress Anna Sorokin makes new bid to fight deportation,0
Israel-Hamas war,0
Frank Reich fired,0
Musk visits Israel,0
Bears outlast Vikings,0
Rosalynn Carter,0
Pocan asks Justice Department to investigate fake electors,0
Judge orders more document production in Musk-Twitter suit,0
Connecticut man charged with faking COVID to avoid court,0
YouTube creators will soon have to disclose use of generative AI in videos or risk suspension,0
Lawsuit seeks $2.4M damages from Wisconsin fake GOP electors,0
Australian police charge 7 with laundering hundreds of millions for Chinese crime syndicate,0
"No, CNN did not stage a report about a rocket attack on the Israel-Gaza border",0
"Posts recirculate old, altered photo of fake CNN banner",0
Musk wars with Twitter over his buyout deal - on Twitter,0
Did missing ex-NFL player Sergio Brown post videos about mother’s death? Police are investigating,0
Metallurgist gets 2.5 years for faking tests on sub parts,0
"No. 18 Tulane beats UTSA 29-16, will host second straight AAC title game",0
Lawsuit accuses COVID-19 testing company of faking results,0
"Propaganda, fake videos of Ukraine invasion bombard users",0
"Propaganda, fake videos of Ukraine invasion bombard users",0
Biden hasn’t signed a recent order sending $8B in aid to Israel. A ‘memo’ circulating online was altered,0
Fake news or the truth? Russia cracks down on virus postings,0
CNN screenshot altered to add fake chyron about Putin and Biden,0
Arrest after pair tries to bail out inmate with fake money,0
Fabricated video spreads false report that a member of Ukraine’s UN delegation got into a bar fight,0
Report: German police see surge in fake vaccine certificates,0
Sheriff: Woman sent fake fax trying to free jail inmate,0
European experts accuse Russia of spreading fake virus news,0
Egyptian lawyer sentenced to 1 year in prison for fake news,0
Official: Police used fake DNA reports during interrogations,0
Elon Musk subpoenas Twitter whistleblower ahead of trial,0
"Johnson, Barnes go on attack in US Senate race in Wisconsin",0
De Minaur denies link to Spain probe of fake vaccine passes,0
"Turkey, Greece trade accusations over 92 naked migrants",0
2 charged with making fake injury claim on traffic accident,0
Israel-Hamas war,0
Frank Reich fired,0
Musk visits Israel,0
Bears outlast Vikings,0
Rosalynn Carter,0
Fake Kellogg tweet circulates online amid worker strike,0
"The Israeli military has not admitted it bombed a Gaza hospital, despite widespread claims online",0
Secret Service recovers $286M in stolen pandemic loans,0
Prominent Egypt activist free after completing her sentence,0
News report on anti-vaccine kissing protests is fake,0
No. 1 Georgia could be falling after 39-22 win over Kent St,0
Woman charged with bomb threat against children’s hospital,0
Alzheimer’s drug shows promise in early results of study,0
2 plead guilty to submitting fake COVID-19 loan applications,0
"Mexico sees fake molnupiravir, 1 week after drug approved",0
St. Louis notary ordered 989 fake COVID-19 vaccination cards,0
"Walker’s TD catch in OT lifts Brown past Columbia, 21-14",0
Julia Garner plays fake German heiress in ‘Inventing Anna’,0
NY couple arrested for using fake vax cards for Bills game,0
Maine warns of fake text messages claiming to be from DMV,0
